PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=906 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=897 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=873 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=856 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=868 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=822 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=791 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=758 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=730 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=708 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=720 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=709 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=718 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=715 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=713 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=716 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=729 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=725 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=722 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=745 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=762 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=763 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=753 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=766 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=771 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=756 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=704 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=676 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=642 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=609 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=581 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=547 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=539 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=532 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=540 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=545 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=546 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=548 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=558 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=567 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=568 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=571 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=581 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=583 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=590 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=606 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=598 ms
64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=613 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=608 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=617 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=614 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=621 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=628 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=622 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=616 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=640 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=629 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=631 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=637 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=635 ms
64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=631 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=645 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=642 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=638 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=640 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=651 ms
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=646 ms
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=649 ms
64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=646 ms
64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=648 ms
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=646 ms
64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=656 ms
64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=645 ms
64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=653 ms
64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=651 ms
64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=641 ms
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=650 ms
64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=647 ms
64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=638 ms
64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=645 ms
64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=650 ms
64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=645 ms
64 bytes from 10.0.0.2: icmp_seq=196 ttl=64 time=655 ms
64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=656 ms
64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=653 ms
64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=650 ms
64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=653 ms
64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=662 ms
64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=652 ms
64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=660 ms
64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=668 ms
64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=671 ms
64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=680 ms
64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=677 ms
64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=667 ms
64 bytes from 10.0.0.2: icmp_seq=209 ttl=64 time=677 ms
64 bytes from 10.0.0.2: icmp_seq=210 ttl=64 time=680 ms
64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=676 ms
64 bytes from 10.0.0.2: icmp_seq=212 ttl=64 time=686 ms
64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=687 ms
64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=697 ms
64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=701 ms
64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=705 ms
64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=713 ms
64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=728 ms
64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=724 ms
64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=740 ms
64 bytes from 10.0.0.2: icmp_seq=221 ttl=64 time=734 ms
64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=749 ms
64 bytes from 10.0.0.2: icmp_seq=223 ttl=64 time=760 ms
64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=773 ms
64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=788 ms
64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=783 ms
64 bytes from 10.0.0.2: icmp_seq=227 ttl=64 time=803 ms
64 bytes from 10.0.0.2: icmp_seq=228 ttl=64 time=820 ms
64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=829 ms
64 bytes from 10.0.0.2: icmp_seq=230 ttl=64 time=841 ms
64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=850 ms
64 bytes from 10.0.0.2: icmp_seq=232 ttl=64 time=858 ms
64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=875 ms
64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=894 ms
64 bytes from 10.0.0.2: icmp_seq=235 ttl=64 time=900 ms
64 bytes from 10.0.0.2: icmp_seq=236 ttl=64 time=921 ms
64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=946 ms
64 bytes from 10.0.0.2: icmp_seq=238 ttl=64 time=955 ms
64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=1008 ms
64 bytes from 10.0.0.2: icmp_seq=240 ttl=64 time=1015 ms
64 bytes from 10.0.0.2: icmp_seq=241 ttl=64 time=1034 ms
64 bytes from 10.0.0.2: icmp_seq=242 ttl=64 time=1049 ms
64 bytes from 10.0.0.2: icmp_seq=243 ttl=64 time=1069 ms
64 bytes from 10.0.0.2: icmp_seq=244 ttl=64 time=1093 ms
64 bytes from 10.0.0.2: icmp_seq=249 ttl=64 time=1126 ms
64 bytes from 10.0.0.2: icmp_seq=250 ttl=64 time=1116 ms
64 bytes from 10.0.0.2: icmp_seq=258 ttl=64 time=1085 ms
64 bytes from 10.0.0.2: icmp_seq=260 ttl=64 time=1002 ms
64 bytes from 10.0.0.2: icmp_seq=261 ttl=64 time=975 ms
64 bytes from 10.0.0.2: icmp_seq=263 ttl=64 time=891 ms
64 bytes from 10.0.0.2: icmp_seq=267 ttl=64 time=837 ms
64 bytes from 10.0.0.2: icmp_seq=269 ttl=64 time=830 ms
64 bytes from 10.0.0.2: icmp_seq=270 ttl=64 time=839 ms
64 bytes from 10.0.0.2: icmp_seq=271 ttl=64 time=859 ms
64 bytes from 10.0.0.2: icmp_seq=276 ttl=64 time=805 ms
64 bytes from 10.0.0.2: icmp_seq=277 ttl=64 time=780 ms
64 bytes from 10.0.0.2: icmp_seq=278 ttl=64 time=746 ms
64 bytes from 10.0.0.2: icmp_seq=279 ttl=64 time=712 ms
64 bytes from 10.0.0.2: icmp_seq=280 ttl=64 time=685 ms
64 bytes from 10.0.0.2: icmp_seq=281 ttl=64 time=651 ms
64 bytes from 10.0.0.2: icmp_seq=282 ttl=64 time=656 ms
64 bytes from 10.0.0.2: icmp_seq=283 ttl=64 time=664 ms
64 bytes from 10.0.0.2: icmp_seq=284 ttl=64 time=662 ms
64 bytes from 10.0.0.2: icmp_seq=285 ttl=64 time=672 ms
64 bytes from 10.0.0.2: icmp_seq=286 ttl=64 time=660 ms
64 bytes from 10.0.0.2: icmp_seq=287 ttl=64 time=663 ms
64 bytes from 10.0.0.2: icmp_seq=288 ttl=64 time=641 ms
64 bytes from 10.0.0.2: icmp_seq=289 ttl=64 time=615 ms
64 bytes from 10.0.0.2: icmp_seq=290 ttl=64 time=575 ms
64 bytes from 10.0.0.2: icmp_seq=291 ttl=64 time=541 ms
64 bytes from 10.0.0.2: icmp_seq=292 ttl=64 time=512 ms
64 bytes from 10.0.0.2: icmp_seq=293 ttl=64 time=492 ms
64 bytes from 10.0.0.2: icmp_seq=294 ttl=64 time=458 ms
64 bytes from 10.0.0.2: icmp_seq=295 ttl=64 time=444 ms
64 bytes from 10.0.0.2: icmp_seq=296 ttl=64 time=445 ms
64 bytes from 10.0.0.2: icmp_seq=297 ttl=64 time=467 ms
64 bytes from 10.0.0.2: icmp_seq=298 ttl=64 time=457 ms
64 bytes from 10.0.0.2: icmp_seq=299 ttl=64 time=465 ms
64 bytes from 10.0.0.2: icmp_seq=300 ttl=64 time=474 ms

--- 10.0.0.2 ping statistics ---
300 packets transmitted, 251 received, 16% packet loss, time 30446ms
rtt min/avg/max/mdev = 2.961/675.285/1175.829/192.195 ms, pipe 12
